NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A2	156	119.88440704345703	-8.958515E-4	No	
row_1	FLT1	269	66.62992858886719	3.6678437E-5	No	
row_2	SHC3	295	58.709739685058594	0.004584417	No	
row_3	FLNC	312	54.94639205932617	0.009506144	No	
row_4	PARVA	348	48.10070037841797	0.013638341	No	
row_5	RAP1B	606	24.024250030517578	0.008545523	No	
row_6	PDGFA	673	20.8577938079834	0.011389542	No	
row_7	COL3A1	742	18.567567825317383	0.014150454	No	
row_8	VEGFC	759	18.18255043029785	0.01907218	No	
row_9	MYL9	798	16.736726760864258	0.023079716	No	
row_10	RELN	850	15.360376358032227	0.026547046	No	
row_11	LAMB2	1101	10.44435977935791	0.021745108	No	
row_12	VEGFB	1105	10.375248908996582	0.027207037	No	
row_13	ELK1	1173	9.269685745239258	0.030009503	No	
row_14	COL5A1	1192	8.986050605773926	0.03484812	No	
row_15	GRB2	1426	6.358062744140625	0.030752601	No	
row_16	MYLK	1519	5.717942237854004	0.032516215	No	
row_17	PDGFRB	1520	5.708085060119629	0.038102806	No	
row_18	ITGAV	1780	4.010423183441162	0.03292688	No	
row_19	RASGRF1	1876	3.5515546798706055	0.03456583	No	
row_20	ITGB5	1897	3.46781063079834	0.03932134	No	
row_21	PIK3R1	1974	3.1625537872314453	0.041749816	No	
row_22	PDGFD	2052	2.895341396331787	0.04413674	No	
row_23	ACTN4	2151	2.6167123317718506	0.04565103	No	
row_24	LAMC1	2242	2.407217025756836	0.04749775	No	
row_25	KDR	2451	1.9880266189575195	0.044441085	No	
row_26	PIK3CD	2459	1.9709737300872803	0.049736798	No	
row_27	ACTN1	2495	1.90682053565979	0.053868994	No	
row_28	BCL2	2705	1.5569409132003784	0.050770774	No	
row_29	AKT3	2729	1.5130846500396729	0.055401623	No	
row_30	TLN1	2850	1.3492729663848877	0.05600172	No	
row_31	BAD	3283	0.948881208896637	0.04363693	No	
row_32	CCND3	3468	0.8421028256416321	0.041577563	No	
row_33	PPP1R12A	3673	0.7352224588394165	0.038687114	No	
row_34	FN1	3713	0.7122308015823364	0.042653095	No	
row_35	COL4A2	3744	0.6979856491088867	0.046993062	No	
row_36	MYL5	3946	0.6009880304336548	0.044227276	No	
row_37	ITGA2B	4096	0.5376088619232178	0.0436223	No	
row_38	VWF	4360	0.44046133756637573	0.03828016	No	
row_39	ILK	4365	0.4392869472503662	0.043700535	No	
row_40	VEGFD	4372	0.4382915198802948	0.049037803	No	
row_41	ITGA1	4837	0.32107725739479065	0.03534328	No	
row_42	COL1A2	4915	0.3039577603340149	0.037730202	No	
row_43	ACTN2	5000	0.282398521900177	0.039826248	No	
row_44	COL4A1	5019	0.2786869704723358	0.044664867	No	
row_45	PAK3	5440	0.20488998293876648	0.032798726	No	
row_46	RAC1	5673	0.17766444385051727	0.02874476	No	
row_47	FLNB	5800	0.16348828375339508	0.029095534	No	
row_48	RHOA	5821	0.15993116796016693	0.033851042	No	
row_49	PDPK1	6229	0.12189527601003647	0.022525106	No	
row_50	PRKCG	6317	0.11451797932386398	0.02449649	No	
row_51	ITGA11	6361	0.11122062802314758	0.028296255	No	
row_52	GSK3B	6434	0.10521794110536575	0.03089095	No	
row_53	ITGB3	6481	0.10151559114456177	0.034566052	No	
row_54	COL6A1	6536	0.09798366576433182	0.03790872	No	
row_55	RAC2	6741	0.08367981016635895	0.03501827	No	
row_56	MYL12B	6803	0.08056844025850296	0.03807006	No	
row_57	CRK	6884	0.07669796794652939	0.040332325	No	
row_58	FLNA	7009	0.0691005066037178	0.040766202	No	
row_59	MYLK2	7143	0.0626903548836708	0.040826097	No	
row_60	SRC	7360	0.05291297286748886	0.037437	No	
row_61	PIP5K1C	7554	0.04457828029990196	0.035003643	No	
row_62	ARHGAP35	7757	0.03685605153441429	0.032196302	No	
row_63	THBS3	8195	0.024674834683537483	0.019623742	No	
row_64	THBS4	8273	0.02296268939971924	0.022010665	No	
row_65	ITGA3	8470	0.018881943076848984	0.01945265	No	
row_66	HRAS	8794	0.013205569237470627	0.011617259	No	
row_67	AKT1	8851	0.012341163121163845	0.01487682	No	
row_68	CCND1	9193	0.007490396033972502	0.006293455	No	
row_69	LAMA4	9465	0.004802953451871872	6.188793E-4	No	
row_70	PIK3CA	9562	0.003909295424818993	0.0022162753	No	
row_71	MYLK3	9902	0.0020078381057828665	-0.0062839813	No	
row_72	MAPK9	9989	0.0016249606851488352	-0.004271044	No	
row_73	SOS2	9992	0.0016175340861082077	0.0012324398	No	
row_74	PAK2	10217	8.505621808581054E-4	-0.0024890923	No	
row_75	PDGFB	10448	2.8960572672076523E-4	-0.006459949	No	
row_76	AKT2	10660	7.018591713858768E-5	-0.009641278	No	
row_77	VTN	11033	0.0	-0.019512821	No	
row_78	XIAP	11208	-7.39675379008986E-5	-0.021156646	No	
row_79	PAK1	11496	-4.8302244977094233E-4	-0.027496088	No	
row_80	CAV2	11698	-9.208437986671925E-4	-0.030261874	No	
row_81	PARVB	11912	-0.0016804313054308295	-0.033526313	No	
row_82	VEGFA	12249	-0.0035932851023972034	-0.041901905	No	
row_83	CAV3	12713	-0.007633792702108622	-0.055554874	No	
row_84	BCAR1	12780	-0.008234747685492039	-0.052710854	No	
row_85	THBS1	12826	-0.008633585646748543	-0.0489942	No	
row_86	MAP2K1	13137	-0.012849205173552036	-0.056289386	No	
row_87	COL11A2	13195	-0.013844621367752552	-0.053071376	No	
row_88	ROCK1	13240	-0.014651023782789707	-0.04931317	No	
row_89	FYN	13397	-0.017049843445420265	-0.05020902	No	
row_90	COL4A4	13610	-0.020623384043574333	-0.053431902	No	
row_91	PTEN	13702	-0.02212703786790371	-0.051626734	No	
row_92	SHC4	14021	-0.02969112992286682	-0.059254356	No	
row_93	PPP1CC	14239	-0.03502056747674942	-0.062685005	No	
row_94	ITGA5	15136	-0.06713266670703888	-0.094330914	No	
row_95	COL6A3	15175	-0.06875794380903244	-0.09032337	No	
row_96	ERBB2	15216	-0.07010635733604431	-0.08639895	No	
row_97	ITGB7	15252	-0.07143855094909668	-0.082266755	No	
row_98	SOS1	15316	-0.07461699098348618	-0.07929807	No	
row_99	ACTB	15322	-0.07504110038280487	-0.07391925	No	
row_100	MYL12A	15346	-0.07611844688653946	-0.0692884	No	
row_101	PIK3R2	15391	-0.0780576840043068	-0.06553019	No	
row_102	EGF	15516	-0.08439525961875916	-0.06509631	No	
row_103	COL1A1	15849	-0.10182444751262665	-0.07330569	No	
row_104	CTNNB1	15868	-0.10298379510641098	-0.06846707	No	
row_105	TNN	15892	-0.10399366170167923	-0.063836224	No	
row_106	MAPK1	16205	-0.12376239150762558	-0.07121452	No	
row_107	ITGA7	16453	-0.1408127397298813	-0.07589179	No	
row_108	PDGFC	16738	-0.1629495620727539	-0.082106575	No	
row_109	FLT4	16806	-0.16792285442352295	-0.07930411	No	
row_110	TNXB	17043	-0.19091792404651642	-0.083524294	No	
row_111	VAV2	17231	-0.21184396743774414	-0.08570832	No	
row_112	MAPK3	17616	-0.25590866804122925	-0.096078515	No	
row_113	TLN2	17688	-0.2641735076904297	-0.09344226	No	
row_114	PRKCA	17946	-0.30011528730392456	-0.09853508	No	
row_115	RAP1A	18126	-0.32717451453208923	-0.10038668	No	
row_116	ZYX	18414	-0.37957751750946045	-0.10672612	Yes	
row_117	RAPGEF1	18454	-0.3869819641113281	-0.102760136	Yes	
row_118	VASP	18600	-0.4159848093986511	-0.10319889	Yes	
row_119	ACTG1	18681	-0.43040210008621216	-0.10093664	Yes	
row_120	PPP1CA	18744	-0.44616612792015076	-0.09792639	Yes	
row_121	ROCK2	18756	-0.4485971927642822	-0.0927969	Yes	
row_122	PAK4	18848	-0.46813729405403137	-0.090991735	Yes	
row_123	ITGA10	18946	-0.49410879611968994	-0.08943589	Yes	
row_124	BIRC3	19124	-0.5422254204750061	-0.09120438	Yes	
row_125	BRAF	19312	-0.5953294634819031	-0.09338841	Yes	
row_126	PPP1CB	19373	-0.6156069040298462	-0.09029506	Yes	
row_127	PDGFRA	19661	-0.7185750603675842	-0.09663451	Yes	
row_128	IGF1R	19826	-0.7895258069038391	-0.09786279	Yes	
row_129	PRKCB	19900	-0.8237526416778564	-0.09530965	Yes	
row_130	CAPN2	19951	-0.843469500541687	-0.091800764	Yes	
row_131	LAMA5	19998	-0.8618072271347046	-0.08812566	Yes	
row_132	PIK3CG	20022	-0.8712494969367981	-0.08349481	Yes	
row_133	CRKL	20067	-0.8929473161697388	-0.079736605	Yes	
row_134	CDC42	20171	-0.9404710531234741	-0.07843009	Yes	
row_135	RAF1	20241	-0.971383810043335	-0.07571073	Yes	
row_136	VCL	20327	-1.0181057453155518	-0.07365624	Yes	
row_137	SPP1	20495	-1.1268210411071777	-0.07500918	Yes	
row_138	SHC2	20620	-1.2105090618133545	-0.074575305	Yes	
row_139	LAMA2	20622	-1.2111822366714478	-0.06903027	Yes	
row_140	JUN	20862	-1.3881938457489014	-0.07337511	Yes	
row_141	LAMB1	20878	-1.3995327949523926	-0.068411835	Yes	
row_142	ITGA4	20910	-1.4292020797729492	-0.064113416	Yes	
row_143	ITGB4	20968	-1.490298867225647	-0.06089541	Yes	
row_144	CAV1	21032	-1.558951735496521	-0.05792673	Yes	
row_145	BIRC2	21131	-1.6625452041625977	-0.05641244	Yes	
row_146	PXN	21147	-1.6816104650497437	-0.05144916	Yes	
row_147	LAMB4	21198	-1.738978385925293	-0.047940273	Yes	
row_148	COL5A3	21203	-1.7425087690353394	-0.042519897	Yes	
row_149	ARHGAP5	21339	-1.9253326654434204	-0.042543113	Yes	
row_150	DIAPH1	21412	-2.02034854888916	-0.03994842	Yes	
row_151	LAMA3	21748	-2.579200029373169	-0.04828246	Yes	
row_152	ITGB1	21974	-3.085472822189331	-0.052045546	Yes	
row_153	PIK3R3	22003	-3.185267686843872	-0.04762247	Yes	
row_154	TNC	22044	-3.3282105922698975	-0.043698043	Yes	
row_155	EGFR	22064	-3.363140344619751	-0.03890098	Yes	
row_156	PTK2	22099	-3.5031771659851074	-0.034727227	Yes	
row_157	MAPK8	22156	-3.702256441116333	-0.031467665	Yes	
row_158	RAC3	22213	-3.9008684158325195	-0.028208105	Yes	
row_159	THBS2	22285	-4.206352710723877	-0.025571855	Yes	
row_160	PIK3CB	22400	-4.766401767730713	-0.024722433	Yes	
row_161	ITGB8	22606	-6.120256423950195	-0.027654437	Yes	
row_162	DOCK1	22608	-6.12495231628418	-0.022109399	Yes	
row_163	ITGA6	22736	-7.059847831726074	-0.02180018	Yes	
row_164	ITGA2	22752	-7.236333847045898	-0.0168369	Yes	
row_165	MAPK10	22783	-7.463927268981934	-0.012496932	Yes	
row_166	SHC1	22799	-7.622358798980713	-0.0075336522	Yes	
row_167	PGF	23079	-10.85976791381836	-0.013540661	Yes	
row_168	MET	23115	-11.422835350036621	-0.009408464	Yes	
row_169	LAMA1	23139	-11.735275268554688	-0.004777617	Yes	
row_170	VAV1	23204	-13.024574279785156	-0.0018504887	Yes	
row_171	LAMB3	23225	-13.259393692016602	0.0029050207	Yes	
row_172	PAK6	23249	-13.840167999267578	0.007535868	Yes	
row_173	LAMC2	23296	-14.916740417480469	0.011210971	Yes	
row_174	COL6A2	23339	-15.880167007446289	0.015052289	Yes	
row_175	COL4A6	23439	-18.772558212280273	0.016525023	Yes	
row_176	VAV3	23615	-26.34113883972168	0.014839643	Yes	
row_177	ITGB6	23864	-47.67965316772461	0.010120812	Yes	
row_178	CCND2	24173	-179.17657470703125	0.002908733	Yes	
